Device name,Asset risk score,Device type,Device category,Operating system,IP address,Endpoint group,Last user,Highly-exploitable CVEs,Discovered by,First seen,Last detected
svi-12r2-bi-app.louispion.fr,57,Server,IT,Microsoft Windows Server 2012 R2 (64 bit) build 9600 6.3.9600,10.4.1.224,,Système,31,Endpoint & Workload Security,2021-10-03 04:10:53,2024-05-07 13:06:27
SVI-12R2-CBS-BDD.louispion.fr,57,Server,IT,Microsoft Windows Server 2012 R2 (64 bit) build 9600 6.3.9600,10.4.1.217,,Système,37,Endpoint & Workload Security,2021-09-17 09:48:42,2024-05-07 13:06:27
svi-12r2-tech.louispion.fr,57,Server,IT,Microsoft Windows Server 2012 R2 (64 bit) build 9600 6.3.9600,10.3.0.205,,Système,31,Endpoint & Workload Security,2021-10-12 21:28:23,2024-05-07 13:06:27
SVI-12R2-MONITORING,57,Server,IT,Microsoft Windows Server 2012 R2 (64 bit) build 9600 6.3.9600,10.4.1.204,,Système,31,Endpoint & Workload Security,2021-09-15 05:49:44,2024-05-07 13:06:27
svi-12r2-gcds.louispion.fr,57,Server,IT,Microsoft Windows Server 2012 R2 (64 bit) build 9600 6.3.9600,10.3.0.24,,SERVICE RÉSEAU,31,Endpoint & Workload Security,2021-10-03 20:47:12,2024-05-07 13:06:27
svi-12r2-linkki.louispion.fr,57,Server,IT,Microsoft Windows Server 2012 R2 (64 bit) build 9600 6.3.9600,10.4.1.12,,"SERVICE RÉSEAU
AUTORITE NT",31,Endpoint & Workload Security,2021-10-15 07:54:52,2024-05-07 13:06:27
svi-12r2-etl-pr.louispion.fr,57,Server,IT,Microsoft Windows Server 2012 R2 (64 bit) build 9600 6.3.9600,10.4.1.228,,Système,37,Endpoint & Workload Security,2021-09-17 01:44:13,2024-05-07 13:06:27
svi-12r2-dwh.louispion.fr,57,Server,IT,Microsoft Windows Server 2012 R2 (64 bit) build 9600 6.3.9600,10.4.1.226,,SERVICE RÉSEAU,32,Endpoint & Workload Security,2021-10-09 10:19:55,2024-05-07 13:06:27
svi19-wsus-dc,56,Server,IT,Microsoft Windows Server 2019 (64 bit) build 17763 10.0.17763,10.4.1.15,,SERVICE RÉSEAU,10,Endpoint & Workload Security,2022-02-03 18:34:12,2024-05-07 13:06:27
LAP-P,56,Desktop,IT,Windows 10 10.0 (Build 19045),"100.126.28.214|169.254.121.246|192.168.1.78|169.254.223.29|169.254.20.2|169.254.155.242",,Système,2,"Trend Vision One Endpoint Sensor|Trend Vision One Agent",2021-09-06 03:35:55,2024-05-06 19:52:15
LAP-DIR-RA2,55,Desktop,unknown,Windows 11 10.0 (Build 22631),10.3.103.46,,scharbonnier,32,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2022-01-17 14:12:38,2024-05-07 13:06:27
LAP-427-3,55,Desktop,unknown,Windows 11 10.0 (Build 22631),10.3.104.46,,427,32,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2022-06-10 16:48:53,2024-05-07 13:06:27
LAP-024-001,55,Desktop,IT,Windows 11 10.0 (Build 22631),10.1.24.5,,Système,11,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2023-10-11 11:26:13,2024-05-07 13:17:53
LAP-DR-P3,55,Desktop,IT,Windows 11 10.0 (Build 22631),10.3.103.87,,sbendjaiche,32,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2023-12-28 14:20:18,2024-05-07 13:06:27
LAP-MKTG-005,55,Desktop,IT,Windows 11 10.0 (Build 22621),10.3.6.92,,sdelaunay,31,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2024-01-02 14:18:29,2024-05-07 13:17:53
LAP-206-01,55,Desktop,IT,Windows 11 10.0 (Build 22621),10.1.206.4,,SERVICE RÉSEAU,31,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2023-12-16 18:23:14,2024-05-04 13:53:15
LAP-MKTG-S-004,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.3.6.48,,cfallito,33,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2023-12-26 14:20:00,2024-05-07 13:06:27
LAP-SUP-103,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.3.6.61,,Système,36,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2023-12-30 14:18:00,2024-05-03 12:15:12
LAP-INFO-011,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.3.6.66,,Système,36,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2021-09-23 09:32:34,2024-05-07 13:06:27
LP-145-5,53,Desktop,unknown,Windows 11 10.0 (Build 22631),10.1.145.5,,SERVICE RÉSEAU,11,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2021-09-29 05:29:28,2024-05-07 13:06:27
LAP-224-001,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.1.224.4,,Système,32,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2022-12-15 11:18:42,2024-05-07 13:06:27
LAP-337-001,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.2.37.2,,337,11,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2023-10-26 12:04:26,2024-05-07 13:06:27
LAP-417-01,53,Desktop,unknown,Windows 10 10.0 (Build 19045),10.86.41.2,,Système,38,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2023-12-13 15:11:39,2024-05-06 16:13:21
LAP-030-4,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.1.30.1,,Système,11,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2023-12-13 16:43:58,2024-05-07 13:06:27
LAP-CPTA-110,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.3.6.59,,Système,11,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2023-08-01 13:55:46,2024-05-07 13:06:27
LP-COMPTA-018,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.3.6.16,,SERVICE RÉSEAU,33,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2024-01-14 14:20:03,2024-05-07 13:06:27
LP-HORLOGER-401,53,Desktop,unknown,Windows 11 10.0 (Build 22631),10.2.101.5,,Système,32,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2022-07-11 15:29:25,2024-05-07 13:06:27
LAP-GST-006,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.3.6.32,,SERVICE RÉSEAU,11,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2023-09-15 08:39:42,2024-05-03 15:11:11
LAP-ACH010,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.3.103.8,,SERVICE RÉSEAU,33,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2021-09-28 07:03:54,2024-05-07 13:06:27
LAP-346-001,53,Desktop,IT,Windows 11 10.0 (Build 22631),192.168.1.5,,Système,32,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2023-04-25 17:09:45,2024-05-07 12:04:23
LAP-004-002,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.1.4.3,,Système,11,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2024-01-30 02:00:57,2024-05-07 13:06:27
LAP-SUP-013,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.3.6.28,,Système,11,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2022-11-17 12:44:31,2024-05-07 13:06:27
LAP-302-7,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.2.114.14,,302,11,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2022-01-28 21:01:57,2024-05-07 13:06:27
LP-DIR-SUP,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.3.6.26,,pdefoucault,33,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2021-09-27 21:17:56,2024-05-07 13:06:27
LAP-SUP-100,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.3.6.71,,SERVICE RÉSEAU,36,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2024-01-05 14:19:27,2024-05-07 13:06:27
LAP-305-1,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.2.5.4,,Système,32,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2024-01-17 13:40:16,2024-05-04 16:23:47
LAP-012-001,53,Desktop,unknown,Windows 11 10.0 (Build 22631),10.1.12.3,,Système,11,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2022-11-04 09:41:17,2024-05-07 11:44:51
LAP-416-001,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.2.114.16,,SERVICE RÉSEAU,32,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2023-02-17 15:00:03,2024-05-07 13:06:27
TAB-408-001,53,Desktop,IT,Windows 11 10.0 (Build 22621),10.2.108.95,,Système,89,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2023-09-07 15:57:41,2024-05-07 12:17:28
LAP-MKTG-015,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.3.6.22,,Système,11,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2023-03-01 15:15:06,2024-05-07 10:20:04
AIO-414-003,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.2.114.3,,Système,32,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2022-09-07 14:05:11,2024-05-07 13:06:27
LP-009-4,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.1.9.2,,009PERPIGNAN,32,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2021-09-21 23:14:13,2024-05-07 13:06:27
LABO-CEGIDW10,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.3.0.20,,Système,17,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2024-01-11 14:20:32,2024-05-07 13:06:27
LAP-MKTG-012,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.3.6.31,,rcornut,11,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2021-12-22 08:55:09,2024-05-03 16:08:09
LAP-414-001,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.2.114.8,,SERVICE RÉSEAU,32,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2023-01-11 11:36:26,2024-05-07 12:35:43
LAP-016-4,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.1.16.2,,SERVICE RÉSEAU,11,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2024-01-24 15:34:30,2024-05-07 13:06:27
LP-336-2,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.2.36.2,,SERVICE RÉSEAU,11,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2021-11-26 09:58:25,2024-05-07 13:06:27
LAP-RH-100,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.3.6.40,,SERVICE RÉSEAU,12,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2021-09-27 21:50:32,2024-05-07 13:33:36
AIO-401-001,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.2.101.3,,Système,11,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2022-08-23 16:42:47,2024-05-07 13:06:27
TAB-438-001,53,Desktop,unknown,Windows 11 10.0 (Build 22621),10.2.138.95,,SERVICE RÉSEAU,50,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2023-09-07 10:28:11,2024-05-07 09:21:19
LAP-SUP-107,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.3.103.109,,pbarbetmassin,35,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2023-12-30 14:19:06,2024-05-06 13:31:01
LP-141-3,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.1.141.3,,Système,11,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2021-09-22 19:27:12,2024-05-07 13:06:27
LAP-MKTG-05,53,Desktop,unknown,Windows 11 10.0 (Build 22631),10.3.103.12,,SERVICE RÉSEAU,32,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2022-02-16 20:06:09,2024-05-03 21:53:18
LAP-PAIE-005,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.3.6.11,,eprehu,11,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2022-11-29 20:08:12,2024-05-07 13:06:27
LAP-064-FORMA,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.3.104.19,,SERVICE RÉSEAU,32,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2022-08-17 08:34:11,2024-05-07 13:45:13
LAP-038-001,53,Desktop,unknown,Windows 11 10.0 (Build 22631),"10.1.38.3|169.254.142.52|169.254.113.222",,Système,32,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2022-08-12 13:59:59,2024-05-07 14:24:30
LAP-CPTA-102,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.3.6.20,,SERVICE RÉSEAU,36,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2024-01-01 14:19:58,2024-05-07 13:06:27
LAP-127-01,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.1.127.5,,SERVICE RÉSEAU,11,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2023-01-27 17:47:22,2024-05-07 13:06:27
LAP-SUP-101,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.3.6.36,,SERVICE RÉSEAU,36,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2023-12-30 14:17:52,2024-05-07 13:06:27
LAP-MQP-004,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.3.6.55,,SERVICE RÉSEAU,32,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2023-12-31 14:18:41,2024-05-07 13:06:27
LAP-309-03,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.3.104.17,,SERVICE RÉSEAU,11,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2024-01-02 14:21:19,2024-05-07 13:06:27
LAP-226-001,53,Desktop,unknown,Windows 11 10.0 (Build 22631),10.1.226.5,,Système,32,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2022-07-20 11:55:09,2024-05-07 13:48:46
LP-027-3,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.1.27.3,,027,32,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2024-01-15 14:17:32,2024-05-04 17:03:54
LAP-SUP-102,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.3.6.69,,Système,36,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2021-09-27 21:16:08,2024-05-03 15:31:48
LAP-COMPTA-02,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.3.6.45,,SERVICE RÉSEAU,32,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2023-12-31 14:20:12,2024-05-07 13:06:27
LAP-073-001,53,Desktop,IT,Windows 10 10.0 (Build 19045),10.1.73.5,,Système,38,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2023-03-13 12:15:10,2024-05-06 17:02:04
AIO-414-001,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.2.114.1,,Système,32,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2022-09-06 12:35:07,2024-05-07 13:06:27
LAP-320-03,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.2.20.2,,Système,32,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2023-12-13 09:33:12,2024-05-07 13:06:27
LP-235-4,53,Desktop,unknown,Windows 11 10.0 (Build 22631),10.1.235.4,,Système,11,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2021-09-27 21:51:43,2024-05-07 13:06:27
LAP-041-1,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.1.41.3,,Système,32,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2024-01-11 14:18:48,2024-05-07 13:06:27
LAP-RRH-001,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.3.6.24,,SERVICE RÉSEAU,33,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2023-12-26 14:19:41,2024-05-07 13:06:27
LAP-RH-104,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.3.6.16,,sdenia,11,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2022-08-17 13:17:25,2024-05-03 17:27:27
LP-001-002,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.1.1.1,,SERVICE RÉSEAU,32,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2024-03-28 14:19:32,2024-05-07 13:06:27
TPV-502-001,53,Desktop,IT,Windows 10 10.0 (Build 17763),10.3.103.131,,Système,39,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2024-01-15 14:17:14,2024-05-07 11:24:09
LAP-412-001,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.2.112.4,,Système,11,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2022-10-26 10:21:16,2024-05-07 13:19:25
LAP-GST-004,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.3.6.34,,SERVICE RÉSEAU,42,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2023-12-29 14:19:48,2024-05-07 13:06:27
LP-194-3,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.1.194.3,,194VILLENEUVEDASCQ,32,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2023-12-13 17:44:09,2024-05-07 13:06:27
LP-401-7,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.2.101.7,,Système,32,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2021-12-15 16:00:14,2024-05-07 13:06:27
LAP-DR-SO,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.3.103.26,,mpuntonet,32,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2024-01-20 14:56:18,2024-05-07 13:06:27
LAP-SCH-100,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.3.103.16,,evigneron,36,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2023-12-30 14:20:35,2024-05-07 13:06:27
LAP-CPTA-103,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.3.6.39,,SERVICE RÉSEAU,36,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2023-12-26 14:18:48,2024-05-07 13:06:27
LAP-075-001,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.1.75.2,,SERVICE LOCAL,32,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2022-11-03 11:34:25,2024-05-07 14:33:45
LAP-017-3,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.1.17.4,,017,32,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2021-11-23 14:06:07,2024-05-07 13:01:45
LAP-051-3,53,Desktop,unknown,Windows 11 10.0 (Build 22631),10.1.51.4,,051,32,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2023-12-13 17:11:23,2024-05-07 13:06:27
LAP-RESP-SUPP,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.3.6.65,,ndoucet,12,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2023-05-05 13:46:03,2024-05-07 13:17:53
LAP-MGTG-014,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.3.6.37,,SERVICE RÉSEAU,11,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2022-09-02 15:52:03,2024-05-07 13:06:27
LAP-RH-102,53,Desktop,unknown,Windows 10 10.0 (Build 19045),10.3.6.63,,SERVICE RÉSEAU,18,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2024-03-01 11:26:36,2024-05-07 13:06:27
LAP-400-003,53,Desktop,unknown,Windows 11 10.0 (Build 22631),10.2.100.4,,Système,32,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2023-01-11 14:05:42,2024-05-07 13:13:44
LAP-CPTA-104,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.3.6.25,,SERVICE RÉSEAU,45,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2021-09-22 17:40:55,2024-05-07 13:06:27
LAP-GST-002,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.3.103.110,,SERVICE RÉSEAU,34,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2023-12-29 14:19:05,2024-04-29 03:43:05
LAP-221-4,53,Desktop,unknown,Windows 11 10.0 (Build 22631),10.1.221.5,,SERVICE RÉSEAU,32,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2024-01-02 13:45:04,2024-05-07 13:06:27
LAP-SUP-106,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.3.6.50,,Système,33,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2024-01-06 14:20:17,2024-05-07 13:06:27
LAP-ASSIS-001,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.3.6.26,,SERVICE RÉSEAU,11,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2022-03-31 15:32:44,2024-05-02 16:05:49
LAP-BIJ-001,53,Desktop,IT,Windows 11 10.0 (Build 22621),10.3.6.26,,llecourt,50,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2023-05-17 14:31:57,2024-05-03 16:01:01
LAP-007-001,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.1.7.4,,007,41,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2023-12-11 10:08:49,2024-05-06 13:52:49
LAP-400-002,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.2.100.2,,SERVICE RÉSEAU,32,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2023-01-02 16:43:47,2024-05-07 13:06:27
WIN-3B9VUFESI0J,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.3.104.32,,081,32,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2023-12-06 11:09:38,2024-05-07 13:06:27
LAP-TRAV-01,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.3.6.61,,Système,32,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2022-01-11 10:43:26,2024-05-07 13:29:08
LAP-PAXE-002,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.3.103.35,,SERVICE RÉSEAU,36,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2021-09-27 13:09:16,2024-05-07 13:06:27
LAP-SAV-001,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.3.6.19,,Système,33,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2021-09-22 19:01:18,2024-05-07 13:34:32
AIO-340-001,53,Desktop,unknown,Windows 11 10.0 (Build 22631),10.2.40.2,,340,32,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2022-08-10 09:43:12,2024-05-07 13:06:27
LAP-CTRL-GST1,53,Desktop,IT,Windows 11 10.0 (Build 22631),"169.254.35.65|169.254.206.97|169.254.226.169|169.254.254.146|10.3.6.33|169.254.55.59",,SERVICE RÉSEAU,33,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2023-12-30 14:21:12,2024-05-07 14:27:24
LAP-312-001,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.2.12.2,,SERVICE RÉSEAU,11,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2022-10-26 10:21:16,2024-05-07 13:06:27
LAP-MKT-S-002,53,Desktop,unknown,Windows 11 10.0 (Build 22631),10.3.6.60,,ldelgrange,33,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2021-09-22 19:24:14,2024-05-07 13:06:27
AIO-414-002,53,Desktop,IT,Windows 11 10.0 (Build 22631),10.2.114.2,,Système,32,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2022-10-26 10:21:16,2024-05-07 13:06:27
